Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-13,173.91846927181706,173.91846927181706,164.99490105390683,165.72335815429688,695,0.0,0.0
2018-11-14,173.91848391166317,174.82905189025826,151.33639526367188,151.33639526367188,2810,0.0,0.0
2018-11-15,155.70712959158516,167.54451371258287,155.1607832283346,160.6241912841797,27645,0.0,0.0
2018-11-16,163.5380236555035,165.90549219569897,156.07135469828768,158.07461547851562,5660,0.0,0.0
2018-11-19,159.53148758871,160.44205545610467,150.06158732547087,150.2436981201172,1145,0.0,0.0
2018-11-20,148.24046139885635,149.33314013319327,141.6843750986709,142.7770538330078,4395,0.0,0.0
2018-11-21,141.6843770303092,145.3266487905314,133.48926556980928,140.2274627685547,12000,0.0,0.0
2018-11-23,142.0485967120619,143.14127544639882,142.0485967120619,142.7770538330078,70,0.0,0.0
2018-11-26,149.1510175645992,149.1510175645992,135.85672131174363,145.69085693359375,2000,0.0,0.0
2018-11-27,145.32664909660215,145.32664909660215,134.9461662216082,141.13803100585938,9845,0.0,0.0
2018-11-28,140.95593240069587,141.5022648766845,136.40309229663055,140.0453643798828,6325,0.0,0.0
2018-11-29,141.32013833300766,142.95916336700353,138.04210215917976,139.13478088378906,5675,0.0,0.0
2018-11-30,139.13478088378906,145.50875632053445,137.4957558497932,139.13478088378906,18175,0.0,0.0
2018-12-03,142.7770566701545,148.42257515488157,139.3168956975269,142.95916748046875,1045,0.0,0.0
2018-12-04,139.86323161762243,146.60142835711656,138.77053904869848,140.5916748046875,1140,0.0,0.0
2018-12-06,139.13478431235097,145.32664909660215,138.4063271799395,141.13803100585938,15480,0.0,0.0
2018-12-07,148.42257220555186,148.42257220555186,138.5884358081917,142.7770538330078,115520,0.0,0.0
2018-12-10,144.59818591915396,156.6176794718845,144.59818591915396,151.51849365234375,17460,0.0,0.0
2018-12-11,154.97865708801098,174.64692970280828,153.15752124938768,166.8160400390625,9995,0.0,0.0
2018-12-12,173.37212692260184,185.7558562288579,166.63392985235782,176.65017700195312,12920,0.0,0.0
2018-12-13,175.01115036257247,182.11358287347056,169.00141046424616,172.0973358154297,14665,0.0,0.0
2018-12-14,172.27945209264462,185.75586043224843,153.8859824169117,158.98516845703125,19620,0.0,0.0
2018-12-17,190.85504070972246,190.85504070972246,159.53149606964232,164.99490356445312,15310,0.0,0.0
2018-12-18,163.72012454396966,182.1135948444235,157.7103703564378,158.43882751464844,9925,0.0,0.0
2018-12-19,156.25345888117215,160.44206292980294,149.87948351249764,154.2501983642578,27475,0.0,0.0
2018-12-20,151.88274911400597,153.88599598707566,138.04211793423818,141.8665008544922,22865,0.0,0.0
2018-12-21,140.77378757937228,152.42904431577523,138.95265197753906,138.95265197753906,12000,0.0,0.0
2018-12-24,137.49575646973136,150.79005371254974,137.49575646973136,140.95591735839844,5905,0.0,0.0
2018-12-26,139.8632340112428,148.78678825297627,139.49899851731357,146.9656524658203,16585,0.0,0.0
2018-12-27,143.5054909821221,154.4323045931214,134.94614531700879,138.95265197753906,12715,0.0,0.0
2018-12-28,140.4095738734479,154.61443932589683,138.4063271799395,141.13803100585938,11275,0.0,0.0
2018-12-31,142.77705032367786,146.05508644611749,133.85348207329233,140.7738037109375,22145,0.0,0.0
2019-01-02,138.7705510345645,148.60468774513024,134.21771125135484,139.49900817871094,5785,0.0,0.0
2019-01-03,138.40633087595532,141.5022564036727,130.2112191793527,135.12828063964844,12290,0.0,0.0
2019-01-04,138.04211014547207,150.60793704670849,135.85673867565708,147.69412231445312,12610,0.0,0.0
2019-01-07,148.9689178466797,159.3493866172217,144.41607822904479,148.9689178466797,9435,0.0,0.0
2019-01-08,150.97215519286553,160.25994466145835,147.51199451793326,150.2436981201172,13805,0.0,0.0
2019-01-09,153.15753098817368,167.54450780695137,152.97542017156428,160.2599639892578,14405,0.0,0.0
2019-01-10,158.98517742441956,168.455079011165,153.88599109668587,161.35264587402344,11445,0.0,0.0
2019-01-11,160.44206292980294,160.44206292980294,152.06484093837773,154.2501983642578,6170,0.0,0.0
2019-01-14,152.97542748878993,159.34940363415618,149.3331554057235,151.7006378173828,14170,0.0,0.0
2019-01-15,152.4290634986244,160.07784232540243,152.4290634986244,156.98190307617188,6690,0.0,0.0
2019-01-16,157.1640274505566,160.6241744070274,152.6111878823964,156.0713348388672,7460,0.0,0.0
2019-01-17,155.1607595134396,162.0810808841353,150.42580936756713,158.25669860839844,7420,0.0,0.0
2019-01-18,163.17376734402987,172.27944648035034,152.24695238044532,156.0713348388672,6440,0.0,0.0
2019-01-22,154.79653197960113,154.79653197960113,148.42255713338227,150.7900390625,10815,0.0,0.0
2019-01-23,151.15426813090824,154.79653965213492,140.2274535672281,141.5022430419922,7540,0.0,0.0
2019-01-24,143.50551522382605,149.6973662006893,143.50551522382605,147.5120086669922,7335,0.0,0.0
2019-01-25,148.4225766217267,154.79655230486836,145.1445264270167,147.5120086669922,5420,0.0,0.0
2019-01-28,148.05833012001287,156.43555111715585,144.9623912576117,147.87620544433594,10130,0.0,0.0
2019-01-29,147.32990853887003,153.70388468423627,145.50877249733682,151.7006378173828,2100,0.0,0.0
2019-01-30,150.79003352522224,154.06806927497627,144.41605891306702,147.87620544433594,7735,0.0,0.0
2019-01-31,147.14778704276412,153.8859843501338,146.60144071225767,147.5120086669922,19710,0.0,0.0
2019-02-01,149.87947761809585,158.62092087199977,145.50874904406234,152.97540283203125,18325,0.0,0.0
2019-02-04,155.70711968075523,156.98190925497875,148.42257606995966,154.61444091796875,5425,0.0,0.0
2019-02-05,154.97864609567165,154.97864609567165,149.15101738308516,151.88272094726562,15480,0.0,0.0
2019-02-06,149.69735468101467,152.42905833500518,146.05508314236064,150.42581176757812,7265,0.0,0.0
2019-02-07,148.4225587882797,148.9689050531409,146.05507683276477,148.24044799804688,3655,0.0,0.0
2019-02-08,148.05835122630754,148.05835122630754,143.32338686696073,144.5981903076172,3295,0.0,0.0
2019-02-11,144.7802883099906,154.2501884027903,142.95915260797815,143.86972045898438,5060,0.0,0.0
2019-02-12,144.78030141932518,148.60468396100285,144.78030141932518,145.50875854492188,4215,0.0,0.0
2019-02-13,146.7835480940931,151.51849856922564,143.1412763602736,145.50875854492188,12025,0.0,0.0
2019-02-14,145.3266554506508,146.23722343243642,142.04860515855665,143.32339477539062,9245,0.0,0.0
2019-02-15,145.50874446206626,154.79653370556778,142.9591517163185,148.24044799804688,14645,0.0,0.0
2019-02-19,146.78354618264058,152.61118921736113,145.69086745555666,148.058349609375,16860,0.0,0.0
2019-02-20,147.87622522311622,154.06808988193245,145.690867764317,148.9689178466797,7720,0.0,0.0
2019-02-21,148.96892581205302,150.60793704670849,146.60144352662797,147.69412231445312,4230,0.0,0.0
2019-02-22,147.5119966153911,150.4258110536526,146.78353953228492,148.60467529296875,4425,0.0,0.0
2019-02-25,149.33315055158565,150.24371854275384,146.60144657808104,148.78680419921875,3275,0.0,0.0
2019-02-26,148.6046933798181,150.06160772335318,146.60144657808104,148.78680419921875,3850,0.0,0.0
2019-02-27,148.604681384198,149.1510276924629,143.3233846829046,146.23721313476562,13990,0.0,0.0
2019-02-28,132.94292458748754,133.12503540397992,111.08929314844849,111.45352172851562,76635,0.0,0.0
2019-03-01,112.54618887521613,113.45675675761608,92.51369546241747,101.43726348876953,69925,0.0,0.0
2019-03-04,103.25840052799583,108.35757934295378,98.52344331282782,101.07303619384766,47605,0.0,0.0
2019-03-05,102.16572101953581,104.53320324276085,98.52344922636759,100.52670288085938,26435,0.0,0.0
2019-03-06,100.70881552037359,104.53320514089344,98.523451015374,101.98361206054688,23155,0.0,0.0
2019-03-07,101.8014907836914,106.35433013990155,100.34457663203894,101.8014907836914,14335,0.0,0.0
2019-03-08,101.25514664632713,109.26814686168323,94.33483206783686,100.16246795654297,79105,0.0,0.0
2019-03-11,101.43726260729761,110.36082360902387,101.43726260729761,102.7120590209961,64615,0.0,0.0
2019-03-12,103.98685216912531,113.09253123637208,103.98685216912531,112.72830963134766,42530,0.0,0.0
2019-03-13,114.18521817025089,118.37382919863227,109.26815002950671,112.36408233642578,52960,0.0,0.0
2019-03-14,113.63887975852936,115.09578704833984,109.26815094201594,115.09578704833984,32410,0.0,0.0
2019-03-15,115.64212578383437,118.55594034758641,112.91042202516111,117.2811508178711,130820,0.0,0.0
2019-03-18,117.46326424883578,117.46326424883578,110.90717786029172,112.54619598388672,26530,0.0,0.0
2019-03-19,113.82098867169432,116.73480320285697,110.90717414053168,113.63887786865234,32400,0.0,0.0
2019-03-20,113.63888137730432,114.00310299463379,109.08604168986555,111.63562774658203,28040,0.0,0.0
2019-03-21,111.45351381580757,115.09578546372884,108.53969232922144,114.54944610595703,27525,0.0,0.0
2019-03-22,113.63888040137563,115.2778985065285,108.53969443757029,112.9104232788086,13975,0.0,0.0
2019-03-25,113.4567630020353,113.4567630020353,109.08604109420932,109.81449127197266,16090,0.0,0.0
2019-03-26,110.5429442691262,114.73155521287842,109.26814782178897,109.9966049194336,19735,0.0,0.0
2019-03-27,109.08604637870285,113.63888626183599,108.17547840207622,111.45352172851562,19420,0.0,0.0
2019-03-28,110.90717536336645,112.18196489287946,107.81124304794501,109.26815032958984,13020,0.0,0.0
2019-03-29,110.72505695605503,110.72505695605503,105.44376722295765,107.44701385498047,12700,0.0,0.0
2019-04-01,108.17546878644197,110.36082617842526,103.80474010831193,109.0860366821289,23255,0.0,0.0
2019-04-02,109.45026397705078,111.27139986317198,106.718560147869,109.45026397705078,11410,0.0,0.0
2019-04-03,109.2681531672715,109.45026397705078,107.6291280909296,109.45026397705078,36070,0.0,0.0
2019-04-04,110.17871824900308,110.17871824900308,107.44701449076334,109.26815032958984,14155,0.0,0.0
2019-04-05,109.45025987447676,110.54294553344108,107.811241806653,109.63237762451172,16255,0.0,0.0
2019-04-08,109.45026081354268,110.54294648188208,107.62912498005889,108.35758209228516,17840,0.0,0.0
2019-04-09,108.35758304411159,114.54944771117931,104.89742215126516,107.0827865600586,75885,0.0,0.0
2019-04-10,108.3575918321092,108.72182042096135,104.8974306586374,105.80799865722656,18985,0.0,0.0
2019-04-11,106.17222155387215,107.44701807296785,103.98685708500552,105.44377136230469,68890,0.0,0.0
2019-04-12,106.35433481425608,107.99335288627891,105.26164915249235,106.53644561767578,13005,0.0,0.0
2019-04-15,107.26490272551827,107.99335288627891,103.80474188388922,106.53644561767578,28360,0.0,0.0
2019-04-16,102.89417755444829,102.89417755444829,94.5169552580517,98.70556640625,23945,0.0,0.0
2019-04-17,100.16247372556913,100.70881310192854,97.06654133008966,98.70556640625,21995,0.0,0.0
2019-04-18,97.79499730006094,97.79499730006094,87.96086085423595,91.05679321289062,59135,0.0,0.0
2019-04-22,90.51045869477348,99.25190992237337,89.59989071383427,98.52345275878906,16705,0.0,0.0
2019-04-23,94.88117659199503,100.34458423330949,93.42426927706092,97.79499816894531,57965,0.0,0.0
2019-04-24,97.06654172465538,98.70556680747818,92.87793055943081,95.60963439941406,31235,0.0,0.0
2019-04-25,95.24540493717673,95.24540493717673,92.33159031404875,92.8779296875,10655,0.0,0.0
2019-04-26,91.05678519817315,94.69905660610006,88.50719243379173,90.1462173461914,24020,0.0,0.0
2019-04-29,90.51045350482096,94.51695378063353,89.2356570151876,94.15272521972656,12865,0.0,0.0
2019-04-30,93.78850510096787,94.15273369465999,89.59989364121495,91.96736907958984,10945,0.0,0.0
2019-05-01,91.78524845052448,95.60963090801222,91.23890214481321,93.60638427734375,6440,0.0,0.0
2019-05-02,91.05679632064145,95.24540756197452,90.69256774594244,92.14947509765625,11750,0.0,0.0
2019-05-03,91.96736233051006,98.88767731447855,91.96736233051006,94.69906616210938,18760,0.0,0.0
2019-05-06,93.42427650727574,94.5169622883521,89.41777587082758,91.96736907958984,52160,0.0,0.0
2019-05-07,91.23890306969997,93.97060683762012,90.69256370553234,92.33158874511719,14070,0.0,0.0
2019-05-08,92.51370112283848,93.78849762561273,91.0567938112745,92.8779296875,35480,0.0,0.0
2019-05-09,92.87792840513512,101.80149685426521,92.14947128586992,97.2486572265625,60750,0.0,0.0
2019-05-10,96.88443602605902,98.15923260806291,93.9706142747526,96.33809661865234,34610,0.0,0.0
2019-05-13,95.97386658040871,99.9803670859577,93.2421626375911,98.52345275878906,21785,0.0,0.0
2019-05-14,98.34133366130632,99.98035866782747,96.52019785276362,96.70230865478516,20755,0.0,0.0
2019-05-15,95.79174236212394,98.52344612089647,93.78849571785685,95.42752075195312,12470,0.0,0.0
2019-05-16,95.42752262117395,97.79499786906753,94.6990654923996,96.88442993164062,13430,0.0,0.0
2019-05-17,96.52020292192977,98.70556739637102,94.69906701774241,97.43077087402344,62570,0.0,0.0
2019-05-20,98.34133203595091,98.34133203595091,94.88117127807553,96.15596771240234,13255,0.0,0.0
2019-05-21,96.15597635852386,97.4307729074774,93.78850102308573,94.88117980957031,67180,0.0,0.0
2019-05-22,94.3348395987681,95.24540756197452,90.69256774594244,92.14947509765625,22590,0.0,0.0
2019-05-23,91.23890083087467,91.78524712871796,88.87142567952017,89.964111328125,18530,0.0,0.0
