Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,1.3200000524520874,1.3700000047683716,1.3200000524520874,1.3300000429153442,37300,0,0
2017-02-09,1.350000023841858,1.399999976158142,1.340000033378601,1.3799999952316284,102800,0,0
2017-02-10,1.3799999952316284,1.399999976158142,1.3600000143051147,1.399999976158142,59700,0,0
2017-02-13,1.3799999952316284,1.399999976158142,1.350000023841858,1.3899999856948853,49600,0,0
2017-02-14,1.399999976158142,1.690000057220459,1.3899999856948853,1.600000023841858,304400,0,0
2017-02-15,1.6100000143051147,1.8899999856948853,1.6100000143051147,1.7699999809265137,381000,0,0
2017-02-16,1.75,1.7699999809265137,1.440000057220459,1.6699999570846558,289400,0,0
2017-02-17,1.600000023841858,1.75,1.5,1.75,75000,0,0
2017-02-21,1.8899999856948853,2.6600000858306885,1.8899999856948853,2.069999933242798,2279900,0,0
2017-02-22,2.25,2.25,1.9600000381469727,2.119999885559082,477400,0,0
2017-02-23,2.1600000858306885,2.1600000858306885,1.9700000286102295,2.130000114440918,130500,0,0
2017-02-24,2.1500000953674316,2.1700000762939453,2.0,2.0999999046325684,84100,0,0
2017-02-27,2.1500000953674316,2.430000066757202,2.069999933242798,2.4000000953674316,420800,0,0
2017-02-28,2.380000114440918,2.380000114440918,2.190000057220459,2.309999942779541,296300,0,0
2017-03-01,2.299999952316284,2.380000114440918,2.2300000190734863,2.3499999046325684,283200,0,0
2017-03-02,2.8499999046325684,2.8499999046325684,2.5299999713897705,2.619999885559082,1397800,0,0
2017-03-03,2.5,2.6600000858306885,2.4100000858306885,2.5999999046325684,244400,0,0
2017-03-06,2.549999952316284,2.549999952316284,2.4000000953674316,2.450000047683716,227200,0,0
2017-03-07,2.5999999046325684,2.6500000953674316,2.299999952316284,2.4000000953674316,286900,0,0
2017-03-08,2.3499999046325684,2.450000047683716,2.25,2.2699999809265137,143700,0,0
2017-03-09,2.25,2.380000114440918,2.2200000286102295,2.25,97000,0,0
2017-03-10,2.25,2.450000047683716,2.2300000190734863,2.4000000953674316,160900,0,0
2017-03-13,2.380000114440918,2.4600000381469727,2.299999952316284,2.4200000762939453,139500,0,0
2017-03-14,2.369999885559082,2.4100000858306885,2.2699999809265137,2.3499999046325684,79200,0,0
2017-03-15,2.3499999046325684,2.4000000953674316,2.200000047683716,2.200000047683716,91000,0,0
2017-03-16,2.2100000381469727,2.2899999618530273,2.0399999618530273,2.200000047683716,177200,0,0
2017-03-17,2.2300000190734863,2.3299999237060547,2.119999885559082,2.3299999237060547,135600,0,0
2017-03-20,2.3399999141693115,2.3499999046325684,2.140000104904175,2.140000104904175,166600,0,0
2017-03-21,2.180000066757202,2.190000057220459,2.059999942779541,2.069999933242798,66100,0,0
2017-03-22,2.0799999237060547,2.1600000858306885,2.0299999713897705,2.109999895095825,45000,0,0
2017-03-23,2.140000104904175,2.200000047683716,2.049999952316284,2.140000104904175,48500,0,0
2017-03-24,2.1700000762939453,2.2200000286102295,2.0799999237060547,2.140000104904175,52000,0,0
2017-03-27,2.0399999618530273,2.2300000190734863,2.0399999618530273,2.2200000286102295,67400,0,0
2017-03-28,2.2300000190734863,2.2799999713897705,2.1600000858306885,2.2200000286102295,89300,0,0
2017-03-29,2.3499999046325684,2.3499999046325684,2.1700000762939453,2.2200000286102295,218400,0,0
2017-03-30,2.0999999046325684,2.430000066757202,2.009999990463257,2.109999895095825,217000,0,0
2017-03-31,2.1500000953674316,2.1500000953674316,2.009999990463257,2.0899999141693115,51000,0,0
2017-04-03,2.130000114440918,2.2200000286102295,2.049999952316284,2.0999999046325684,48900,0,0
2017-04-04,2.069999933242798,2.2200000286102295,2.009999990463257,2.009999990463257,45200,0,0
2017-04-05,2.009999990463257,2.059999942779541,1.850000023841858,1.940000057220459,101100,0,0
2017-04-06,1.9199999570846558,1.9199999570846558,1.7200000286102295,1.8200000524520874,139900,0,0
2017-04-07,1.7899999618530273,1.9700000286102295,1.7899999618530273,1.9199999570846558,29200,0,0
2017-04-10,1.940000057220459,1.940000057220459,1.809999942779541,1.940000057220459,19500,0,0
2017-04-11,1.940000057220459,1.940000057220459,1.809999942779541,1.8799999952316284,52800,0,0
2017-04-12,1.8700000047683716,1.8899999856948853,1.7899999618530273,1.809999942779541,83100,0,0
2017-04-13,1.8200000524520874,1.8600000143051147,1.7999999523162842,1.840000033378601,61100,0,0
2017-04-17,1.8600000143051147,1.909999966621399,1.8300000429153442,1.8600000143051147,31700,0,0
2017-04-18,1.8300000429153442,1.899999976158142,1.7799999713897705,1.7799999713897705,20800,0,0
2017-04-19,1.7699999809265137,1.9700000286102295,1.7699999809265137,1.909999966621399,59500,0,0
2017-04-20,1.940000057220459,2.0,1.809999942779541,1.909999966621399,122000,0,0
2017-04-21,1.9299999475479126,1.9600000381469727,1.840000033378601,1.8600000143051147,41500,0,0
2017-04-24,1.8799999952316284,1.8799999952316284,1.8200000524520874,1.8300000429153442,14800,0,0
2017-04-25,1.8600000143051147,1.940000057220459,1.7799999713897705,1.8799999952316284,35000,0,0
2017-04-26,1.909999966621399,1.940000057220459,1.840000033378601,1.9199999570846558,11300,0,0
2017-04-27,1.8300000429153442,2.0899999141693115,1.8200000524520874,1.8700000047683716,42700,0,0
2017-04-28,1.899999976158142,2.0,1.850000023841858,1.8899999856948853,56100,0,0
2017-05-01,1.909999966621399,1.9700000286102295,1.8700000047683716,1.8700000047683716,71600,0,0
2017-05-02,1.840000033378601,1.9299999475479126,1.840000033378601,1.8799999952316284,69500,0,0
2017-05-03,1.840000033378601,1.909999966621399,1.8300000429153442,1.899999976158142,43200,0,0
2017-05-04,1.9199999570846558,1.9199999570846558,1.8300000429153442,1.8300000429153442,44000,0,0
2017-05-05,1.8700000047683716,1.9299999475479126,1.7699999809265137,1.9199999570846558,147000,0,0
2017-05-08,1.8700000047683716,1.909999966621399,1.7200000286102295,1.7799999713897705,96100,0,0
2017-05-09,1.7999999523162842,1.8300000429153442,1.649999976158142,1.649999976158142,134800,0,0
2017-05-10,1.649999976158142,1.7999999523162842,1.590000033378601,1.7599999904632568,36400,0,0
2017-05-11,1.7699999809265137,1.9500000476837158,1.75,1.909999966621399,73100,0,0
2017-05-12,1.899999976158142,1.9700000286102295,1.6699999570846558,1.9299999475479126,55800,0,0
2017-05-15,1.8600000143051147,1.8899999856948853,1.75,1.8799999952316284,17500,0,0
2017-05-16,1.8600000143051147,1.8600000143051147,1.7799999713897705,1.7899999618530273,27900,0,0
2017-05-17,1.7799999713897705,1.7999999523162842,1.7200000286102295,1.7200000286102295,48200,0,0
2017-05-18,1.7000000476837158,1.850000023841858,1.6200000047683716,1.8300000429153442,27600,0,0
2017-05-19,1.75,1.7899999618530273,1.7400000095367432,1.7799999713897705,42100,0,0
2017-05-22,1.7799999713897705,1.7999999523162842,1.690000057220459,1.7899999618530273,47000,0,0
2017-05-23,1.7699999809265137,1.840000033378601,1.7699999809265137,1.809999942779541,5200,0,0
2017-05-24,1.8300000429153442,1.8300000429153442,1.7000000476837158,1.7200000286102295,93100,0,0
2017-05-25,1.809999942779541,1.9199999570846558,1.75,1.7999999523162842,49800,0,0
2017-05-26,1.8300000429153442,1.8899999856948853,1.7100000381469727,1.8899999856948853,7200,0,0
