Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,39.0,39.0,39.0,39.0,8,0,0.0
2017-02-09,45.0,45.0,42.0,42.0,41,0,0.0
2017-02-10,48.0,51.0,48.0,51.0,6,0,0.0
2017-02-13,51.0,51.0,51.0,51.0,0,0,0.0
2017-02-14,48.0,48.0,48.0,48.0,62,0,0.0
2017-02-15,48.0,48.0,48.0,48.0,0,0,0.0
2017-02-16,48.0,48.0,48.0,48.0,44,0,0.0
2017-02-17,48.0,51.0,48.0,51.0,64,0,0.0
2017-02-21,48.0,48.0,48.0,48.0,17,0,0.0
2017-02-23,42.0,42.0,39.0,42.0,321,0,0.0
2017-02-24,45.0,45.0,45.0,45.0,33,0,0.0
2017-02-27,48.0,48.0,48.0,48.0,33,0,0.0
2017-02-28,45.0,45.0,45.0,45.0,3,0,0.0
2017-03-01,45.0,45.0,45.0,45.0,0,0,0.0
2017-03-03,51.0,51.0,48.0,51.0,200,0,0.0
2017-03-07,51.0,54.0,51.0,54.0,51,0,0.0
2017-03-08,54.0,54.0,54.0,54.0,123,0,0.0
2017-03-09,54.0,54.0,54.0,54.0,0,0,0.0
2017-03-15,54.0,54.0,54.0,54.0,35,0,0.0
2017-03-16,51.0,51.0,51.0,51.0,92,0,0.0
2017-03-21,54.0,54.0,54.0,54.0,33,0,0.0
2017-03-22,51.0,51.0,51.0,51.0,7,0,0.0
2017-04-03,45.0,48.0,45.0,48.0,77,0,0.0
2017-04-05,45.0,45.0,45.0,45.0,47,0,0.0
2017-04-07,45.0,45.0,42.0,42.0,33,0,0.0
2017-04-10,45.0,45.0,45.0,45.0,50,0,0.0
2017-04-12,39.0,39.0,39.0,39.0,15,0,0.0
2017-04-13,39.0,39.0,39.0,39.0,0,0,0.0
2017-04-25,42.0,42.0,42.0,42.0,47,0,0.0
2017-04-26,39.0,39.0,39.0,39.0,13,0,0.0
2017-05-01,39.0,39.0,39.0,39.0,24,0,0.0
2017-05-03,39.0,39.0,39.0,39.0,17,0,0.0
2017-05-08,42.0,42.0,42.0,42.0,10,0,0.0
2017-05-09,42.0,42.0,42.0,42.0,0,0,0.0
