Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,4.050000190734863,4.050000190734863,3.609999895095825,3.950000047683716,4100,0,0
2017-02-09,3.799999952316284,3.9700000286102295,3.799999952316284,3.950000047683716,1800,0,0
2017-02-10,4.0,4.150000095367432,4.0,4.0,600,0,0
2017-02-13,3.7200000286102295,3.9000000953674316,3.7200000286102295,3.799999952316284,900,0,0
2017-02-14,4.0,4.150000095367432,3.950000047683716,3.950000047683716,700,0,0
2017-02-15,3.799999952316284,3.9800000190734863,3.5999999046325684,3.75,55100,0,0
2017-02-16,3.799999952316284,3.950000047683716,3.799999952316284,3.9000000953674316,5900,0,0
2017-02-17,3.8499999046325684,3.950000047683716,3.5999999046325684,3.75,31000,0,0
2017-02-21,3.8499999046325684,4.0,3.8499999046325684,4.0,4300,0,0
2017-02-22,4.099999904632568,4.150000095367432,4.099999904632568,4.099999904632568,16000,0,0
2017-02-23,4.099999904632568,4.21999979019165,4.099999904632568,4.150000095367432,1800,0,0
2017-02-24,4.150000095367432,4.159999847412109,4.150000095367432,4.159999847412109,300,0,0
2017-02-27,4.300000190734863,4.300000190734863,4.170000076293945,4.300000190734863,2000,0,0
2017-02-28,4.300000190734863,4.300000190734863,4.099999904632568,4.150000095367432,700,0,0
2017-03-01,4.170000076293945,4.230000019073486,4.170000076293945,4.199999809265137,2100,0,0
2017-03-02,4.159999847412109,4.159999847412109,3.950000047683716,3.950000047683716,6700,0,0
2017-03-03,3.9600000381469727,3.9600000381469727,3.950000047683716,3.950000047683716,500,0,0
2017-03-06,3.9000000953674316,3.9800000190734863,3.9000000953674316,3.950000047683716,1200,0,0
2017-03-07,3.9000000953674316,4.150000095367432,3.9000000953674316,3.950000047683716,1500,0,0
2017-03-08,3.9800000190734863,3.9800000190734863,3.950000047683716,3.950000047683716,1300,0,0
2017-03-09,3.950000047683716,4.050000190734863,3.950000047683716,3.950000047683716,2000,0,0
2017-03-10,4.0,4.050000190734863,3.950000047683716,3.950000047683716,3100,0,0
2017-03-13,3.950000047683716,4.03000020980835,3.950000047683716,3.950000047683716,1300,0,0
2017-03-14,3.9000000953674316,3.9000000953674316,3.8499999046325684,3.9000000953674316,2500,0,0
2017-03-15,3.700000047683716,4.25,3.700000047683716,4.150000095367432,1800,0,0
2017-03-16,3.9000000953674316,4.099999904632568,3.799999952316284,3.799999952316284,9000,0,0
2017-03-17,3.799999952316284,3.9800000190734863,3.799999952316284,3.9800000190734863,3400,0,0
2017-03-20,3.950000047683716,3.9600000381469727,3.75,3.75,9700,0,0
2017-03-21,3.700000047683716,3.799999952316284,3.6500000953674316,3.799999952316284,4800,0,0
2017-03-22,3.75,3.799999952316284,3.7200000286102295,3.799999952316284,2200,0,0
2017-03-23,3.700000047683716,3.700000047683716,3.700000047683716,3.700000047683716,500,0,0
2017-03-24,3.809999942779541,3.809999942779541,3.809999942779541,3.809999942779541,100,0,0
2017-03-27,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,500,0,0
2017-03-28,3.75,4.0,3.75,3.950000047683716,4300,0,0
2017-03-29,4.0,4.099999904632568,4.0,4.090000152587891,2000,0,0
2017-03-30,4.0,4.079999923706055,4.0,4.0,1500,0,0
2017-03-31,4.050000190734863,4.050000190734863,3.8499999046325684,3.8499999046325684,3500,0,0
2017-04-03,4.0,4.010000228881836,3.9000000953674316,3.9000000953674316,6300,0,0
2017-04-04,4.0,4.0,3.9000000953674316,3.9000000953674316,1100,0,0
2017-04-05,3.859999895095825,3.9200000762939453,3.859999895095825,3.9200000762939453,1600,0,0
2017-04-06,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0,0,0
2017-04-07,3.890000104904175,4.0,3.890000104904175,4.0,300,0,0
2017-04-10,3.9000000953674316,3.9000000953674316,3.8499999046325684,3.8499999046325684,400,0,0
2017-04-11,3.8499999046325684,3.9000000953674316,3.8499999046325684,3.9000000953674316,1400,0,0
2017-04-12,3.8499999046325684,3.869999885559082,3.8499999046325684,3.8499999046325684,600,0,0
2017-04-13,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,200,0,0
2017-04-17,3.8499999046325684,3.9100000858306885,3.8499999046325684,3.8499999046325684,1000,0,0
2017-04-18,3.859999895095825,3.859999895095825,3.8499999046325684,3.8499999046325684,500,0,0
2017-04-19,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0,0,0
2017-04-24,3.8499999046325684,3.8499999046325684,3.799999952316284,3.799999952316284,1400,0,0
2017-04-25,3.869999885559082,4.0,3.869999885559082,4.0,1100,0,0
2017-04-26,4.0,4.0,3.9000000953674316,3.9000000953674316,1300,0,0
2017-04-27,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0,0,0
2017-04-28,3.819999933242798,3.819999933242798,3.819999933242798,3.819999933242798,700,0,0
2017-05-01,3.819999933242798,3.819999933242798,3.819999933242798,3.819999933242798,0,0,0
2017-05-03,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,100,0,0
2017-05-04,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,0,0,0
2017-05-05,3.9000000953674316,3.9200000762939453,3.9000000953674316,3.9200000762939453,1100,0,0
