Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,26.280000686645508,26.280000686645508,25.920000076293945,25.950000762939453,233500,0,0
2017-02-09,25.8700008392334,26.31999969482422,25.719999313354492,26.280000686645508,321700,0,0
2017-02-10,26.469999313354492,26.469999313354492,26.1299991607666,26.31999969482422,116500,0,0
2017-02-13,26.350000381469727,26.350000381469727,26.030000686645508,26.049999237060547,139600,0,0
2017-02-14,25.889999389648438,26.110000610351562,25.790000915527344,26.079999923706055,207700,0,0
2017-02-15,25.959999084472656,26.049999237060547,25.809999465942383,26.0,108200,0,0
2017-02-16,26.0,26.100000381469727,25.649999618530273,25.719999313354492,226300,0,0
2017-02-17,25.739999771118164,25.799999237060547,25.3700008392334,25.549999237060547,259200,0,0
2017-02-21,25.600000381469727,26.020000457763672,25.559999465942383,25.770000457763672,206900,0,0
2017-02-22,25.610000610351562,26.010000228881836,25.540000915527344,25.799999237060547,173600,0,0
2017-02-23,25.8799991607666,25.90999984741211,25.530000686645508,25.56999969482422,161200,0,0
2017-02-24,25.34000015258789,25.75,25.09000015258789,25.729999542236328,382700,0,0
2017-02-27,25.639999389648438,25.940000534057617,25.56999969482422,25.860000610351562,452300,0,0
2017-02-28,25.889999389648438,25.889999389648438,24.920000076293945,24.950000762939453,322100,0,0
2017-03-01,25.1299991607666,25.270000457763672,24.889999389648438,24.959999084472656,210800,0,0
2017-03-02,24.969999313354492,25.450000762939453,24.799999237060547,25.309999465942383,248600,0,0
2017-03-03,25.309999465942383,25.389999389648438,24.8700008392334,24.889999389648438,174300,0,0
2017-03-06,24.780000686645508,24.940000534057617,24.520000457763672,24.829999923706055,200100,0,0
2017-03-07,24.799999237060547,25.049999237060547,24.479999542236328,24.5,191100,0,0
2017-03-08,24.59000015258789,24.690000534057617,24.420000076293945,24.469999313354492,233800,0,0
2017-03-09,24.520000457763672,24.65999984741211,24.34000015258789,24.420000076293945,348800,0,0
2017-03-10,24.450000762939453,24.6299991607666,24.25,24.59000015258789,251400,0,0
2017-03-13,24.540000915527344,24.84000015258789,24.530000686645508,24.709999084472656,187700,0,0
2017-03-14,24.600000381469727,24.639999389648438,24.18000030517578,24.219999313354492,156800,0,0
2017-03-15,24.260000228881836,24.6299991607666,24.209999084472656,24.56999969482422,162900,0,0
2017-03-16,24.639999389648438,24.799999237060547,24.329999923706055,24.579999923706055,186800,0,0
2017-03-17,24.43000030517578,24.719999313354492,24.360000610351562,24.649999618530273,627800,0,0
2017-03-20,24.8700008392334,25.149999618530273,24.459999084472656,24.489999771118164,203200,0,0
2017-03-21,24.600000381469727,24.600000381469727,23.6200008392334,23.639999389648438,387800,0,0
2017-03-22,23.559999465942383,23.649999618530273,23.31999969482422,23.510000228881836,294600,0,0
2017-03-23,23.510000228881836,24.170000076293945,23.450000762939453,23.969999313354492,358800,0,0
2017-03-24,23.969999313354492,24.170000076293945,23.790000915527344,23.920000076293945,282000,0,0
