Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,8600.0,8600.0,8130.0,8270.0,151,0,0.0
2017-02-09,8210.0,8510.0,5140.0,7210.0,2252,0,0.0
2017-02-10,6900.0,7190.0,6670.0,7100.0,293,0,0.0
2017-02-13,7390.0,8490.0,7070.0,7410.0,1069,0,0.0
2017-02-14,7500.0,7590.0,7200.0,7450.0,170,0,0.0
2017-02-15,7300.0,7360.0,7030.0,7270.0,79,0,0.0
2017-02-16,7230.0,7540.0,7230.0,7250.0,75,0,0.0
2017-02-17,7880.0,7900.0,7320.0,7440.0,191,0,0.0
2017-02-21,7440.0,7700.0,7280.0,7450.0,95,0,0.0
2017-02-22,7700.0,7700.0,7250.0,7550.0,82,0,0.0
2017-02-23,7700.0,7700.0,7310.0,7480.0,81,0,0.0
2017-02-24,7340.0,7500.0,7000.0,7340.0,71,0,0.0
2017-02-27,7480.0,7480.0,7050.0,7110.0,32,0,0.0
2017-02-28,7360.0,7400.0,7010.0,7110.0,47,0,0.0
2017-03-01,7060.0,7250.0,6250.0,6270.0,141,0,0.0
2017-03-02,6690.0,6690.0,6260.0,6530.0,61,0,0.0
2017-03-03,6150.0,6510.0,6050.0,6300.0,83,0,0.0
2017-03-06,6020.0,6180.0,5760.0,5950.0,65,0,0.0
2017-03-07,6050.0,6080.0,5770.0,5920.0,47,0,0.0
2017-03-08,5900.0,6030.0,5360.0,5440.0,63,0,0.0
2017-03-09,5500.0,5630.0,5180.0,5450.0,172,0,0.0
2017-03-10,5400.0,5420.0,4900.0,4950.0,99,0,0.0
2017-03-13,5100.0,5100.0,4550.0,4630.0,88,0,0.0
2017-03-14,4640.0,4720.0,4420.0,4460.0,42,0,0.0
2017-03-15,4450.0,4580.0,4300.0,4320.0,55,0,0.0
2017-03-16,4550.0,7940.0,4400.0,6740.0,3723,0,0.0
2017-03-17,6600.0,7390.0,5660.0,6190.0,963,0,0.0
2017-03-20,6020.0,6140.0,5310.0,5700.0,306,0,0.0
2017-03-21,5850.0,5850.0,5210.0,5280.0,160,0,0.0
2017-03-22,5080.0,5130.0,4920.0,4990.0,182,0,0.0
2017-03-23,5000.0,5430.0,4700.0,4890.0,411,0,0.0
2017-03-24,4870.0,5280.0,4550.0,4590.0,808,0,0.0
2017-03-27,4590.0,4720.0,4450.0,4500.0,320,0,0.0
2017-03-28,4770.0,5440.0,4550.0,4590.0,785,0,0.0
2017-03-29,4620.0,5190.0,4500.0,4810.0,699,0,0.0
2017-03-30,4940.0,4950.0,4600.0,4650.0,206,0,0.0
2017-03-31,4620.0,4710.0,4520.0,4650.0,236,0,0.0
2017-04-03,4620.0,4690.0,4390.0,4410.0,213,0,0.0
2017-04-04,4340.0,4680.0,4280.0,4380.0,179,0,0.0
2017-04-05,4350.0,4390.0,4250.0,4290.0,132,0,0.0
