Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,190.0,190.0,180.0,180.0,865,0,0.0
2017-02-09,180.0,186.0,180.0,182.0,605,0,0.0
2017-02-10,182.0,184.0,172.0,174.0,1345,0,0.0
2017-02-13,178.0,182.0,164.0,180.0,1290,0,0.0
2017-02-14,178.0,185.0,178.0,182.0,660,0,0.0
2017-02-15,180.0,184.0,180.0,182.0,208,0,0.0
2017-02-16,182.0,186.0,176.0,180.0,493,0,0.0
2017-02-17,182.0,186.0,180.0,184.0,1590,0,0.0
2017-02-21,184.0,186.0,178.0,186.0,1263,0,0.0
2017-02-22,180.0,188.0,180.0,186.0,560,0,0.0
2017-02-23,184.0,186.0,182.0,184.0,488,0,0.0
2017-02-24,184.0,188.0,181.0,184.0,385,0,0.0
2017-02-27,186.0,200.0,186.0,192.0,1020,0,0.0
2017-02-28,190.0,190.0,184.0,186.0,913,0,0.0
2017-03-01,190.0,196.0,188.0,192.0,500,0,0.0
2017-03-02,190.0,192.0,174.0,178.0,888,0,0.0
2017-03-03,180.0,180.0,172.0,174.0,503,0,0.0
2017-03-06,174.0,180.0,172.0,172.0,660,0,0.0
2017-03-07,172.0,178.0,172.0,174.0,935,0,0.0
2017-03-08,174.0,174.0,170.0,170.0,1028,0,0.0
2017-03-09,170.0,174.0,164.0,172.0,795,0,0.0
2017-03-10,174.0,178.0,166.0,174.0,480,0,0.0
2017-03-13,172.0,184.0,172.0,178.0,468,0,0.0
2017-03-14,178.0,178.0,171.0,176.0,345,0,0.0
2017-03-15,176.0,180.0,174.0,180.0,330,0,0.0
2017-03-16,180.0,180.0,172.0,180.0,490,0,0.0
2017-03-17,180.0,188.0,180.0,184.0,1813,0,0.0
2017-03-20,184.0,190.0,178.0,182.0,528,0,0.0
2017-03-21,184.0,184.0,168.0,170.0,788,0,0.0
2017-03-22,160.0,162.0,150.0,156.0,24813,0,0.0
2017-03-23,154.0,160.0,152.0,160.0,4025,0,0.0
2017-03-24,160.0,160.0,148.0,154.0,4473,0,0.0
2017-03-27,158.0,160.0,148.0,158.0,4043,0,0.0
2017-03-28,162.0,170.0,156.0,164.0,5530,0,0.0
2017-03-29,166.0,172.0,152.0,162.0,5118,0,0.0
2017-03-30,162.0,170.0,160.0,164.0,3098,0,0.0
2017-03-31,164.0,168.0,160.0,160.0,3755,0,0.0
2017-04-03,162.0,162.0,152.0,154.0,3248,0,0.0
2017-04-04,154.0,160.0,152.0,154.0,2258,0,0.0
2017-04-05,154.0,160.0,150.0,150.0,3203,0,0.0
2017-04-06,150.0,156.0,150.0,152.0,1845,0,0.0
2017-04-07,150.0,160.0,148.0,150.0,1273,0,0.0
2017-04-10,148.0,158.0,148.0,150.0,1078,0,0.0
2017-04-11,150.0,160.0,148.0,154.0,2543,0,0.0
2017-04-12,155.0,160.0,152.0,158.0,1078,0,0.0
2017-04-13,158.0,160.0,148.0,150.0,2555,0,0.0
2017-04-17,148.0,156.0,148.0,150.0,1978,0,0.0
2017-04-18,150.0,150.0,148.0,148.0,3298,0,0.0
2017-04-19,150.0,150.0,140.0,140.0,7478,0,0.0
2017-04-20,144.0,148.0,140.0,144.0,4665,0,0.0
2017-04-21,146.0,150.0,140.0,140.0,1665,0,0.0
