Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,6.349999904632568,6.460000038146973,6.210000038146973,6.389999866485596,689800,0,0
2017-02-09,6.389999866485596,6.519999980926514,6.260000228881836,6.5,532000,0,0
2017-02-10,6.5,6.590000152587891,6.380000114440918,6.389999866485596,444300,0,0
2017-02-13,6.710000038146973,6.889999866485596,6.460000038146973,6.809999942779541,1463500,0,0
2017-02-14,6.789999961853027,6.940000057220459,6.690000057220459,6.860000133514404,690800,0,0
2017-02-15,6.849999904632568,7.019999980926514,6.78000020980835,7.010000228881836,595300,0,0
2017-02-16,7.050000190734863,7.159999847412109,6.869999885559082,7.0,850000,0,0
2017-02-17,6.96999979019165,7.0,6.78000020980835,6.960000038146973,561800,0,0
2017-02-21,6.960000038146973,6.989999771118164,6.789999961853027,6.800000190734863,638500,0,0
2017-02-22,6.769999980926514,6.800000190734863,6.599999904632568,6.599999904632568,484700,0,0
2017-02-23,6.860000133514404,7.21999979019165,6.809999942779541,6.900000095367432,1263700,0,0
2017-02-24,6.889999866485596,6.909999847412109,6.550000190734863,6.679999828338623,896300,0,0
2017-02-27,6.820000171661377,7.179999828338623,6.71999979019165,7.170000076293945,1304500,0,0
2017-02-28,7.139999866485596,7.170000076293945,6.920000076293945,7.050000190734863,836500,0,0
2017-03-01,7.150000095367432,7.230000019073486,7.039999961853027,7.070000171661377,681400,0,0
2017-03-02,7.050000190734863,7.150000095367432,6.849999904632568,6.880000114440918,548500,0,0
2017-03-03,6.880000114440918,6.980000019073486,6.809999942779541,6.949999809265137,478000,0,0
2017-03-06,6.880000114440918,6.989999771118164,6.820000171661377,6.840000152587891,442400,0,0
2017-03-07,6.820000171661377,6.860000133514404,6.610000133514404,6.639999866485596,824400,0,0
2017-03-08,6.659999847412109,6.820000171661377,6.610000133514404,6.650000095367432,918500,0,0
2017-03-09,6.630000114440918,6.699999809265137,6.5,6.610000133514404,634600,0,0
2017-03-10,6.659999847412109,6.730000019073486,6.5,6.679999828338623,551500,0,0
2017-03-13,6.690000057220459,6.769999980926514,6.610000133514404,6.699999809265137,449100,0,0
2017-03-14,6.659999847412109,6.730000019073486,6.599999904632568,6.610000133514404,537900,0,0
2017-03-15,6.610000133514404,6.880000114440918,6.599999904632568,6.869999885559082,775800,0,0
2017-03-16,6.550000190734863,6.590000152587891,6.050000190734863,6.210000038146973,2419800,0,0
2017-03-17,6.099999904632568,6.21999979019165,6.039999961853027,6.130000114440918,1196400,0,0
2017-03-20,6.099999904632568,6.139999866485596,6.0,6.099999904632568,806500,0,0
2017-03-21,6.099999904632568,6.199999809265137,5.849999904632568,5.860000133514404,1427900,0,0
2017-03-22,5.900000095367432,6.050000190734863,5.829999923706055,5.920000076293945,810500,0,0
2017-03-23,5.920000076293945,6.070000171661377,5.869999885559082,5.949999809265137,580300,0,0
2017-03-24,5.960000038146973,6.070000171661377,5.920000076293945,6.050000190734863,631500,0,0
2017-03-27,5.949999809265137,6.289999961853027,5.920000076293945,6.260000228881836,721100,0,0
2017-03-28,6.269999980926514,6.5,6.150000095367432,6.400000095367432,1354100,0,0
2017-03-29,6.440000057220459,6.610000133514404,6.349999904632568,6.570000171661377,902000,0,0
2017-03-30,6.570000171661377,6.610000133514404,6.449999809265137,6.539999961853027,724500,0,0
2017-03-31,6.550000190734863,6.659999847412109,6.420000076293945,6.619999885559082,790800,0,0
2017-04-03,6.630000114440918,6.71999979019165,6.349999904632568,6.360000133514404,822000,0,0
2017-04-04,6.360000133514404,6.400000095367432,6.21999979019165,6.25,574300,0,0
2017-04-05,6.210000038146973,6.28000020980835,6.019999980926514,6.039999961853027,714200,0,0
2017-04-06,6.03000020980835,6.150000095367432,5.980000019073486,6.070000171661377,591000,0,0
2017-04-07,6.03000020980835,6.260000228881836,5.980000019073486,6.260000228881836,650900,0,0
2017-04-10,6.25,6.320000171661377,6.130000114440918,6.170000076293945,469400,0,0
2017-04-11,6.170000076293945,6.25,6.079999923706055,6.150000095367432,578900,0,0
2017-04-12,6.130000114440918,6.179999828338623,6.010000228881836,6.070000171661377,576400,0,0
2017-04-13,6.059999942779541,6.150000095367432,5.96999979019165,6.090000152587891,496700,0,0
2017-04-17,6.099999904632568,6.179999828338623,6.079999923706055,6.139999866485596,385500,0,0
2017-04-18,6.099999904632568,6.139999866485596,6.0,6.119999885559082,485700,0,0
2017-04-19,6.150000095367432,6.230000019073486,6.059999942779541,6.099999904632568,413700,0,0
2017-04-20,6.110000133514404,6.210000038146973,6.079999923706055,6.130000114440918,431800,0,0
2017-04-21,6.139999866485596,6.320000171661377,6.079999923706055,6.269999980926514,613000,0,0
2017-04-24,6.329999923706055,6.539999961853027,6.289999961853027,6.53000020980835,1156000,0,0
2017-04-25,6.579999923706055,6.880000114440918,6.53000020980835,6.789999961853027,1351200,0,0
2017-04-26,6.800000190734863,6.849999904632568,6.650000095367432,6.670000076293945,868700,0,0
2017-04-27,6.679999828338623,6.71999979019165,6.409999847412109,6.429999828338623,672000,0,0
2017-04-28,6.429999828338623,6.449999809265137,6.21999979019165,6.289999961853027,603000,0,0
2017-05-01,6.349999904632568,6.369999885559082,6.269999980926514,6.369999885559082,392500,0,0
