Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,8.069999694824219,8.729999542236328,8.050000190734863,8.729999542236328,4400,0,0
2017-02-09,8.5,8.75,8.5,8.5,3500,0,0
2017-02-10,8.75,8.75,7.730000019073486,8.199999809265137,11100,0,0
2017-02-13,8.130000114440918,9.409000396728516,8.130000114440918,9.409000396728516,500,0,0
2017-02-14,9.946999549865723,9.949999809265137,9.095000267028809,9.473999977111816,1700,0,0
2017-02-15,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,100,0,0
2017-02-16,9.59000015258789,9.59000015258789,9.59000015258789,9.59000015258789,300,0,0
2017-02-17,9.59000015258789,9.59000015258789,9.59000015258789,9.59000015258789,0,0,0
2017-02-21,8.979999542236328,9.0,8.979999542236328,9.0,1000,0,0
2017-02-22,9.0,9.0,9.0,9.0,0,0,0
2017-02-23,9.0,9.253999710083008,9.0,9.253999710083008,400,0,0
2017-02-24,9.253999710083008,9.253999710083008,9.253999710083008,9.253999710083008,0,0,0
2017-02-27,9.010000228881836,9.5,9.010000228881836,9.5,500,0,0
2017-02-28,9.5,9.899999618530273,9.234999656677246,9.284000396728516,4200,0,0
2017-03-01,9.284000396728516,9.284000396728516,9.284000396728516,9.284000396728516,0,0,0
2017-03-02,9.289999961853027,9.437000274658203,9.289999961853027,9.434000015258789,1100,0,0
2017-03-03,9.0,9.5,9.0,9.5,600,0,0
2017-03-06,9.289999961853027,10.289999961853027,9.25,10.289999961853027,3100,0,0
2017-03-07,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,100,0,0
2017-03-08,9.25,9.25,8.430000305175781,8.710000038146973,2000,0,0
2017-03-09,8.710000038146973,8.710000038146973,8.710000038146973,8.710000038146973,0,0,0
2017-03-17,9.0,9.5,9.0,9.5,2900,0,0
2017-03-20,9.5,9.5,9.5,9.5,0,0,0
2017-03-23,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,100,0,0
2017-03-24,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,0,0,0
2017-03-27,8.140000343322754,9.215999603271484,8.140000343322754,9.010000228881836,3200,0,0
2017-03-28,9.010000228881836,9.010000228881836,9.010000228881836,9.010000228881836,0,0,0
2017-03-29,9.0,9.0,9.0,9.0,200,0,0
2017-03-30,9.0,9.005000114440918,9.0,9.0,1200,0,0
2017-04-03,9.0,9.0,9.0,9.0,1800,0,0
2017-04-04,8.460000038146973,8.545999526977539,8.449999809265137,8.463000297546387,2100,0,0
2017-04-05,8.463000297546387,8.463000297546387,8.463000297546387,8.463000297546387,0,0,0
2017-04-06,8.869999885559082,8.869999885559082,8.8100004196167,8.8100004196167,900,0,0
2017-04-07,8.8100004196167,8.8100004196167,8.8100004196167,8.8100004196167,0,0,0
2017-04-11,8.302000045776367,8.302000045776367,8.109999656677246,8.109999656677246,300,0,0
2017-04-12,8.5,8.5,8.5,8.5,200,0,0
2017-04-13,8.5,8.5,8.5,8.5,0,0,0
2017-04-17,8.234999656677246,8.234999656677246,8.234999656677246,8.234999656677246,200,0,0
2017-04-18,8.234999656677246,8.234999656677246,8.234999656677246,8.234999656677246,0,0,0
2017-04-19,7.610000133514404,8.0,7.610000133514404,8.0,900,0,0
2017-04-20,8.0,8.0,8.0,8.0,0,0,0
2017-04-21,8.0,8.074999809265137,8.0,8.074999809265137,1300,0,0
2017-04-24,8.074999809265137,8.074999809265137,8.074999809265137,8.074999809265137,0,0,0
2017-04-27,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,100,0,0
2017-04-28,8.079000473022461,8.100000381469727,8.079000473022461,8.098999977111816,1800,0,0
2017-05-01,7.5,7.5,7.196000099182129,7.196000099182129,1500,0,0
2017-05-02,7.196000099182129,7.196000099182129,7.196000099182129,7.196000099182129,0,0,0
2017-05-05,7.738999843597412,7.738999843597412,7.738999843597412,7.738999843597412,200,0,0
2017-05-08,7.650000095367432,7.650000095367432,7.099999904632568,7.099999904632568,1900,0,0
2017-05-09,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,0,0,0
2017-05-10,7.809999942779541,8.25,7.809999942779541,8.25,2700,0,0
2017-05-11,8.25,8.291000366210938,8.220000267028809,8.291000366210938,1800,0,0
2017-05-12,8.291000366210938,8.291000366210938,8.291000366210938,8.291000366210938,0,0,0
2017-05-15,7.809999942779541,7.809999942779541,7.809999942779541,7.809999942779541,700,0,0
2017-05-16,7.809999942779541,7.809999942779541,7.809999942779541,7.809999942779541,0,0,0
2017-05-17,8.493000030517578,8.5,8.170000076293945,8.329999923706055,4400,0,0
