Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,19.34000015258789,19.6200008392334,19.170000076293945,19.459999084472656,124400,0,0
2017-02-09,19.440000534057617,19.799999237060547,19.209999084472656,19.559999465942383,119900,0,0
2017-02-10,19.600000381469727,19.649999618530273,19.3700008392334,19.5,115100,0,0
2017-02-13,19.690000534057617,19.739999771118164,19.09000015258789,19.190000534057617,251400,0,0
2017-02-14,19.209999084472656,19.579999923706055,19.170000076293945,19.280000686645508,269700,0,0
2017-02-15,19.309999465942383,19.6299991607666,19.299999237060547,19.40999984741211,210100,0,0
2017-02-16,19.5,19.850000381469727,19.219999313354492,19.43000030517578,177900,0,0
2017-02-17,19.399999618530273,19.5,18.34000015258789,18.969999313354492,268700,0,0
2017-02-21,19.100000381469727,19.469999313354492,17.690000534057617,18.09000015258789,353000,0,0
2017-02-22,17.950000762939453,18.239999771118164,16.709999084472656,16.969999313354492,314000,0,0
2017-02-23,16.979999542236328,18.299999237060547,16.739999771118164,18.219999313354492,335300,0,0
2017-02-24,17.600000381469727,20.3799991607666,17.260000228881836,19.8700008392334,656800,0,0
2017-02-27,28.40999984741211,37.66999816894531,28.200000762939453,35.119998931884766,18296000,0,0
2017-02-28,35.29999923706055,35.470001220703125,33.060001373291016,33.5099983215332,2252800,0,0
2017-03-01,34.02000045776367,36.369998931884766,33.0,34.380001068115234,1473400,0,0
2017-03-02,34.9900016784668,35.880001068115234,33.599998474121094,34.36000061035156,912200,0,0
2017-03-03,34.150001525878906,35.369998931884766,33.810001373291016,34.529998779296875,429400,0,0
2017-03-06,34.349998474121094,34.849998474121094,32.81999969482422,33.130001068115234,638100,0,0
2017-03-07,34.119998931884766,34.25,32.25,32.41999816894531,548000,0,0
2017-03-08,32.34000015258789,32.959999084472656,31.799999237060547,32.5,375100,0,0
2017-03-09,32.58000183105469,34.58000183105469,32.5099983215332,34.40999984741211,599300,0,0
2017-03-10,34.63999938964844,36.709999084472656,33.650001525878906,36.060001373291016,824500,0,0
2017-03-13,35.790000915527344,36.56999969482422,34.5,35.2400016784668,1011000,0,0
2017-03-14,34.9900016784668,35.119998931884766,34.08000183105469,34.68000030517578,413500,0,0
2017-03-15,34.83000183105469,36.0,34.189998626708984,35.15999984741211,420500,0,0
2017-03-16,35.029998779296875,35.20000076293945,33.91999816894531,34.77000045776367,347400,0,0
2017-03-17,34.380001068115234,36.08000183105469,33.77000045776367,35.880001068115234,658200,0,0
2017-03-20,35.93000030517578,39.279998779296875,35.70000076293945,38.439998626708984,836500,0,0
2017-03-21,36.70000076293945,38.45000076293945,33.0099983215332,33.59000015258789,1228200,0,0
2017-03-22,33.209999084472656,34.43000030517578,33.029998779296875,34.11000061035156,639400,0,0
2017-03-23,34.81999969482422,36.880001068115234,34.650001525878906,35.02000045776367,3756500,0,0
2017-03-24,35.0,35.369998931884766,34.22999954223633,34.91999816894531,551000,0,0
2017-03-27,34.79999923706055,35.41999816894531,33.38999938964844,34.630001068115234,534100,0,0
2017-03-28,34.900001525878906,35.16999816894531,33.83000183105469,34.029998779296875,501200,0,0
2017-03-29,33.86000061035156,35.130001068115234,33.099998474121094,33.34000015258789,550100,0,0
2017-03-30,33.41999816894531,33.81999969482422,31.309999465942383,31.5,737400,0,0
2017-03-31,31.5,32.810001373291016,29.549999237060547,29.850000381469727,2086400,0,0
2017-04-03,29.889999389648438,31.56999969482422,28.899999618530273,29.84000015258789,1636100,0,0
2017-04-04,29.649999618530273,30.5,29.270000457763672,29.709999084472656,427100,0,0
2017-04-05,29.989999771118164,30.290000915527344,28.010000228881836,28.18000030517578,526600,0,0
2017-04-06,28.31999969482422,28.540000915527344,27.030000686645508,27.530000686645508,670900,0,0
2017-04-07,27.350000381469727,27.959999084472656,26.559999465942383,26.940000534057617,458100,0,0
2017-04-10,27.100000381469727,27.329999923706055,25.43000030517578,25.739999771118164,610400,0,0
2017-04-11,26.299999237060547,26.639999389648438,25.170000076293945,25.600000381469727,513800,0,0
2017-04-12,25.600000381469727,25.729999542236328,25.010000228881836,25.440000534057617,573600,0,0
2017-04-13,25.360000610351562,28.479999542236328,25.360000610351562,27.920000076293945,740900,0,0
2017-04-17,27.559999465942383,28.229999542236328,27.059999465942383,27.59000015258789,548800,0,0
2017-04-18,27.43000030517578,27.559999465942383,26.469999313354492,27.0,331400,0,0
2017-04-19,27.239999771118164,28.239999771118164,26.950000762939453,27.989999771118164,285900,0,0
2017-04-20,29.139999389648438,29.8799991607666,27.860000610351562,29.360000610351562,467300,0,0
2017-04-21,29.25,29.329999923706055,27.709999084472656,28.59000015258789,479700,0,0
2017-04-24,28.649999618530273,29.5,28.309999465942383,28.459999084472656,364300,0,0
2017-04-25,28.719999313354492,29.020000457763672,28.040000915527344,28.329999923706055,244000,0,0
2017-04-26,28.110000610351562,28.56999969482422,27.829999923706055,28.200000762939453,185900,0,0
2017-04-27,28.1299991607666,28.979999542236328,27.690000534057617,28.18000030517578,286100,0,0
2017-04-28,27.719999313354492,29.68000030517578,27.719999313354492,29.0,619700,0,0
2017-05-01,29.139999389648438,29.719999313354492,28.829999923706055,29.229999542236328,294800,0,0
2017-05-02,28.950000762939453,29.079999923706055,27.59000015258789,28.09000015258789,288400,0,0
