Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,0,0,0
2017-02-09,8.890000343322754,8.890000343322754,8.649999618530273,8.65999984741211,7800,0,0
2017-02-10,8.600000381469727,8.699999809265137,8.600000381469727,8.600000381469727,5500,0,0
2017-02-13,8.75,8.800000190734863,8.699999809265137,8.699999809265137,800,0,0
2017-02-14,8.5,8.739999771118164,8.5,8.739999771118164,1900,0,0
2017-02-15,8.800000190734863,8.800000190734863,8.600000381469727,8.600000381469727,5400,0,0
2017-02-16,8.649999618530273,8.75,8.600000381469727,8.600000381469727,3700,0,0
2017-02-17,8.699999809265137,8.699999809265137,8.609999656677246,8.609999656677246,600,0,0
2017-02-21,8.699999809265137,8.699999809265137,8.670000076293945,8.670000076293945,500,0,0
2017-02-22,8.75,8.75,8.5,8.550000190734863,16800,0,0
2017-02-23,8.399999618530273,8.449999809265137,8.350000381469727,8.380000114440918,3600,0,0
2017-02-24,8.300000190734863,8.350000381469727,8.149999618530273,8.25,5800,0,0
2017-02-27,8.180000305175781,8.350000381469727,8.180000305175781,8.350000381469727,4300,0,0
2017-02-28,8.350000381469727,8.350000381469727,8.050000190734863,8.050000190734863,2800,0,0
2017-03-01,8.260000228881836,8.300000190734863,8.149999618530273,8.25,4200,0,0
2017-03-02,8.289999961853027,8.300000190734863,8.25,8.25,1100,0,0
2017-03-03,8.25,8.25,8.100000381469727,8.100000381469727,1000,0,0
2017-03-06,8.100000381469727,8.149999618530273,7.849999904632568,7.900000095367432,13300,0,0
2017-03-07,7.800000190734863,7.849999904632568,7.599999904632568,7.75,8100,0,0
2017-03-08,7.880000114440918,7.880000114440918,7.550000190734863,7.550000190734863,5500,0,0
2017-03-09,7.550000190734863,7.599999904632568,7.25,7.5,18400,0,0
2017-03-10,7.449999809265137,7.5,7.199999809265137,7.25,20200,0,0
2017-03-13,7.300000190734863,7.400000095367432,7.099999904632568,7.349999904632568,47800,0,0
2017-03-14,7.349999904632568,7.739999771118164,7.25,7.650000095367432,47900,0,0
2017-03-15,7.800000190734863,8.300000190734863,7.659999847412109,7.849999904632568,9800,0,0
2017-03-16,7.900000095367432,7.900000095367432,7.599999904632568,7.699999809265137,7300,0,0
2017-03-17,7.699999809265137,7.900000095367432,7.699999809265137,7.900000095367432,3000,0,0
2017-03-20,7.900000095367432,8.050000190734863,7.760000228881836,7.760000228881836,5000,0,0
2017-03-21,8.0,8.0,7.650000095367432,7.650000095367432,2000,0,0
2017-03-22,7.650000095367432,8.0,7.650000095367432,7.900000095367432,8000,0,0
2017-03-23,7.840000152587891,7.900000095367432,7.650000095367432,7.650000095367432,15000,0,0
2017-03-24,7.800000190734863,7.949999809265137,7.670000076293945,7.949999809265137,6000,0,0
2017-03-27,7.650000095367432,7.75,7.300000190734863,7.670000076293945,4200,0,0
2017-03-28,7.800000190734863,7.889999866485596,7.400000095367432,7.400000095367432,11200,0,0
2017-03-29,7.800000190734863,7.849999904632568,7.699999809265137,7.75,1000,0,0
2017-03-30,7.650000095367432,7.900000095367432,7.650000095367432,7.869999885559082,3400,0,0
2017-03-31,7.900000095367432,7.949999809265137,7.900000095367432,7.949999809265137,800,0,0
2017-04-03,7.880000114440918,8.100000381469727,7.880000114440918,7.949999809265137,3100,0,0
2017-04-04,8.0,8.050000190734863,7.550000190734863,7.75,7700,0,0
2017-04-05,7.800000190734863,7.900000095367432,7.349999904632568,7.849999904632568,8400,0,0
2017-04-06,8.010000228881836,8.600000381469727,7.900000095367432,8.199999809265137,9200,0,0
2017-04-07,8.050000190734863,8.149999618530273,8.0,8.100000381469727,5900,0,0
2017-04-10,8.25,8.25,8.0,8.050000190734863,1400,0,0
2017-04-11,8.100000381469727,8.100000381469727,8.0,8.050000190734863,1800,0,0
2017-04-12,8.0,8.149999618530273,8.0,8.050000190734863,1300,0,0
2017-04-13,8.0,8.0,8.0,8.0,3300,0,0
2017-04-17,7.949999809265137,7.949999809265137,7.900000095367432,7.900000095367432,1700,0,0
2017-04-18,7.829999923706055,7.900000095367432,7.829999923706055,7.829999923706055,6900,0,0
2017-04-19,7.800000190734863,8.050000190734863,7.75,8.050000190734863,13000,0,0
2017-04-20,7.949999809265137,8.050000190734863,7.949999809265137,7.949999809265137,14200,0,0
2017-04-21,8.050000190734863,8.050000190734863,8.050000190734863,8.050000190734863,600,0,0
2017-04-24,7.949999809265137,8.050000190734863,7.949999809265137,8.029999732971191,2100,0,0
2017-04-25,8.0,8.0,7.949999809265137,7.949999809265137,11000,0,0
2017-04-26,8.050000190734863,8.050000190734863,7.909999847412109,8.050000190734863,15100,0,0
2017-04-27,8.029999732971191,8.050000190734863,7.949999809265137,7.949999809265137,12000,0,0
2017-04-28,8.039999961853027,8.050000190734863,8.0,8.029999732971191,900,0,0
2017-05-01,7.900000095367432,8.0,7.900000095367432,7.949999809265137,600,0,0
2017-05-02,7.929999828338623,8.050000190734863,7.849999904632568,8.050000190734863,10000,0,0
