Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,855.0,855.0,820.0,830.0,189,0,0.0
2017-02-09,840.0,855.0,825.0,850.0,174,0,0.0
2017-02-10,855.0,900.0,830.0,900.0,339,0,0.0
2017-02-13,915.0,935.0,890.0,910.0,390,0,0.0
2017-02-14,910.0,985.0,880.0,985.0,999,0,0.0
2017-02-15,985.0,1065.0,955.0,995.0,2937,0,0.0
2017-02-16,1025.0,1025.0,945.0,945.0,548,0,0.0
2017-02-17,920.0,940.0,900.0,925.0,315,0,0.0
2017-02-21,910.0,925.0,875.0,875.0,403,0,0.0
2017-02-22,870.0,895.0,865.0,885.0,255,0,0.0
2017-02-23,890.0,920.0,885.0,890.0,137,0,0.0
2017-02-24,890.0,890.0,840.0,855.0,356,0,0.0
2017-02-27,860.0,895.0,860.0,875.0,285,0,0.0
2017-02-28,880.0,880.0,840.0,840.0,196,0,0.0
2017-03-01,845.0,850.0,820.0,820.0,288,0,0.0
2017-03-02,830.0,865.0,815.0,830.0,352,0,0.0
2017-03-03,835.0,835.0,785.0,795.0,337,0,0.0
2017-03-06,790.0,795.0,760.0,780.0,366,0,0.0
2017-03-07,780.0,790.0,760.0,785.0,158,0,0.0
2017-03-08,785.0,815.0,765.0,775.0,181,0,0.0
2017-03-09,785.0,810.0,780.0,785.0,199,0,0.0
2017-03-10,800.0,825.0,800.0,820.0,386,0,0.0
2017-03-13,830.0,850.0,810.0,820.0,226,0,0.0
2017-03-14,825.0,825.0,795.0,815.0,148,0,0.0
2017-03-15,810.0,840.0,800.0,805.0,167,0,0.0
2017-03-16,790.0,830.0,790.0,810.0,112,0,0.0
2017-03-17,820.0,825.0,810.0,825.0,159,0,0.0
2017-03-20,825.0,825.0,810.0,825.0,70,0,0.0
2017-03-21,825.0,825.0,805.0,820.0,93,0,0.0
2017-03-22,815.0,820.0,800.0,805.0,101,0,0.0
2017-03-23,810.0,825.0,800.0,820.0,314,0,0.0
2017-03-24,805.0,825.0,800.0,825.0,189,0,0.0
2017-03-27,810.0,825.0,810.0,815.0,93,0,0.0
2017-03-28,815.0,825.0,805.0,805.0,156,0,0.0
2017-03-29,805.0,820.0,805.0,805.0,83,0,0.0
2017-03-30,800.0,820.0,800.0,800.0,137,0,0.0
2017-03-31,810.0,810.0,790.0,800.0,85,0,0.0
2017-04-03,800.0,800.0,790.0,795.0,130,0,0.0
2017-04-04,790.0,800.0,785.0,785.0,115,0,0.0
2017-04-05,785.0,800.0,705.0,720.0,568,0,0.0
2017-04-06,725.0,745.0,705.0,720.0,194,0,0.0
2017-04-07,715.0,735.0,675.0,685.0,359,0,0.0
2017-04-10,910.0,1040.0,855.0,860.0,35518,0,0.0
2017-04-11,560.0,575.0,535.0,560.0,21045,0,0.0
2017-04-12,565.0,570.0,540.0,545.0,4231,0,0.0
2017-04-13,540.0,545.0,525.0,535.0,1850,0,0.0
2017-04-17,545.0,545.0,525.0,525.0,1748,0,0.0
2017-04-18,530.0,530.0,490.0,505.0,1758,0,0.0
2017-04-19,515.0,525.0,500.0,510.0,1045,0,0.0
2017-04-20,520.0,535.0,510.0,525.0,1004,0,0.0
2017-04-21,530.0,535.0,505.0,505.0,699,0,0.0
2017-04-24,520.0,550.0,505.0,550.0,1662,0,0.0
2017-04-25,550.0,550.0,515.0,530.0,1017,0,0.0
2017-04-26,530.0,545.0,525.0,530.0,450,0,0.0
2017-04-27,530.0,545.0,510.0,535.0,959,0,0.0
2017-04-28,535.0,535.0,510.0,515.0,481,0,0.0
2017-05-01,525.0,525.0,505.0,525.0,1171,0,0.0
2017-05-02,530.0,530.0,490.0,505.0,1373,0,0.0
2017-05-03,505.0,510.0,490.0,505.0,561,0,0.0
2017-05-04,505.0,510.0,480.0,485.0,987,0,0.0
2017-05-05,485.0,500.0,450.0,475.0,1239,0,0.0
2017-05-08,470.0,495.0,470.0,485.0,501,0,0.0
2017-05-09,490.0,495.0,455.0,470.0,484,0,0.0
2017-05-10,460.0,490.0,460.0,475.0,290,0,0.0
2017-05-11,475.0,480.0,460.0,470.0,388,0,0.0
2017-05-12,470.0,500.0,470.0,485.0,587,0,0.0
2017-05-15,480.0,495.0,475.0,495.0,403,0,0.0
2017-05-16,485.0,490.0,450.0,460.0,586,0,0.0
2017-05-17,455.0,485.0,450.0,480.0,466,0,0.0
2017-05-18,490.0,490.0,465.0,475.0,273,0,0.0
