Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,4.610000133514404,4.610000133514404,4.449999809265137,4.5,11200,0,0
2017-02-09,4.489999771118164,4.679999828338623,4.480000019073486,4.539999961853027,17300,0,0
2017-02-10,4.699999809265137,4.71999979019165,4.570000171661377,4.690000057220459,14900,0,0
2017-02-13,4.639999866485596,4.739999771118164,4.579999923706055,4.590000152587891,16700,0,0
2017-02-14,4.619999885559082,4.659999847412109,4.5,4.5,22200,0,0
2017-02-15,4.5,4.599999904632568,4.460000038146973,4.599999904632568,11400,0,0
2017-02-16,4.559999942779541,4.699999809265137,4.510000228881836,4.579999923706055,19900,0,0
2017-02-17,4.53000020980835,4.659999847412109,4.360000133514404,4.619999885559082,21300,0,0
2017-02-21,4.630000114440918,4.690000057220459,4.550000190734863,4.619999885559082,16700,0,0
2017-02-22,4.599999904632568,4.659999847412109,4.550000190734863,4.619999885559082,12100,0,0
2017-02-23,4.690000057220459,4.699999809265137,4.599999904632568,4.639999866485596,18000,0,0
2017-02-24,4.610000133514404,4.699999809265137,4.599999904632568,4.619999885559082,18800,0,0
2017-02-27,4.659999847412109,4.829999923706055,4.630000114440918,4.829999923706055,10900,0,0
2017-02-28,4.769999980926514,4.769999980926514,4.650000095367432,4.659999847412109,5700,0,0
2017-03-01,4.71999979019165,4.789999961853027,4.650000095367432,4.739999771118164,10100,0,0
2017-03-02,4.679999828338623,4.820000171661377,4.610000133514404,4.670000076293945,7300,0,0
2017-03-03,4.659999847412109,4.789999961853027,4.659999847412109,4.769999980926514,1800,0,0
2017-03-06,4.699999809265137,4.710000038146973,4.670000076293945,4.670000076293945,6400,0,0
2017-03-07,4.730000019073486,4.730000019073486,4.610000133514404,4.679999828338623,10000,0,0
2017-03-08,4.639999866485596,4.650000095367432,4.619999885559082,4.639999866485596,4600,0,0
2017-03-09,4.590000152587891,4.670000076293945,4.440000057220459,4.619999885559082,9400,0,0
2017-03-10,4.610000133514404,4.710000038146973,4.599999904632568,4.630000114440918,4700,0,0
2017-03-13,4.610000133514404,4.690000057220459,4.429999828338623,4.610000133514404,7300,0,0
2017-03-14,4.590000152587891,4.590000152587891,4.539999961853027,4.570000171661377,7100,0,0
2017-03-15,4.579999923706055,4.710000038146973,4.550000190734863,4.679999828338623,13400,0,0
2017-03-16,4.340000152587891,4.699999809265137,4.340000152587891,4.599999904632568,80300,0,0
2017-03-17,4.519999980926514,4.75,4.510000228881836,4.75,87700,0,0
2017-03-20,4.760000228881836,4.840000152587891,4.599999904632568,4.769999980926514,16900,0,0
2017-03-21,4.769999980926514,4.789999961853027,4.380000114440918,4.739999771118164,18900,0,0
2017-03-22,4.739999771118164,4.860000133514404,4.619999885559082,4.860000133514404,21800,0,0
2017-03-23,4.789999961853027,4.860000133514404,4.789999961853027,4.809999942779541,10800,0,0
2017-03-24,4.78000020980835,4.860000133514404,4.75,4.800000190734863,5000,0,0
2017-03-27,4.739999771118164,4.75,4.539999961853027,4.730000019073486,4500,0,0
2017-03-28,4.679999828338623,4.789999961853027,4.610000133514404,4.690000057220459,8100,0,0
2017-03-29,4.650000095367432,4.730000019073486,4.650000095367432,4.730000019073486,7400,0,0
2017-03-30,4.699999809265137,4.739999771118164,4.440000057220459,4.610000133514404,13700,0,0
2017-03-31,4.849999904632568,4.849999904632568,4.599999904632568,4.760000228881836,9200,0,0
2017-04-03,4.800000190734863,4.800000190734863,4.570000171661377,4.610000133514404,3600,0,0
2017-04-04,4.809999942779541,4.809999942779541,4.510000228881836,4.579999923706055,7600,0,0
2017-04-05,4.650000095367432,4.650000095367432,4.559999942779541,4.559999942779541,1000,0,0
2017-04-06,4.579999923706055,4.71999979019165,4.440000057220459,4.559999942779541,15900,0,0
2017-04-07,4.440000057220459,4.510000228881836,4.389999866485596,4.489999771118164,11300,0,0
2017-04-10,4.460000038146973,4.460000038146973,4.400000095367432,4.409999847412109,2300,0,0
2017-04-11,4.400000095367432,4.400000095367432,4.329999923706055,4.340000152587891,10300,0,0
2017-04-12,4.349999904632568,4.519999980926514,4.349999904632568,4.5,8800,0,0
