Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,14.699999809265137,14.784000396728516,14.420000076293945,14.420000076293945,6629,0,0.0
2017-02-09,14.657999992370605,14.699999809265137,14.489999771118164,14.489999771118164,2629,0,0.0
2017-02-10,14.630000114440918,14.84000015258789,14.489999771118164,14.5600004196167,6271,0,0.0
2017-02-13,14.84000015258789,14.84000015258789,14.567000389099121,14.699999809265137,7600,0,0.0
2017-02-14,14.699999809265137,15.119999885559082,14.699999809265137,15.119999885559082,7786,0,0.0
2017-02-15,15.260000228881836,15.399999618530273,14.770000457763672,15.050000190734863,14200,0,0.0
2017-02-16,15.050000190734863,15.322999954223633,14.770000457763672,14.84000015258789,6243,0,0.0
2017-02-17,14.770000457763672,15.329999923706055,14.699999809265137,15.050000190734863,7186,0,0.0
2017-02-21,15.050000190734863,15.399999618530273,14.770000457763672,15.260000228881836,12671,0,0.0
2017-02-22,15.050000190734863,15.329999923706055,14.699999809265137,14.90999984741211,11800,0,0.0
2017-02-23,14.90999984741211,14.90999984741211,14.279999732971191,14.350000381469727,20171,0,0.0
2017-02-24,14.140000343322754,14.5600004196167,14.140000343322754,14.279999732971191,15200,0,0.0
2017-02-27,14.140000343322754,14.623000144958496,14.140000343322754,14.210000038146973,12643,0,0.0
2017-02-28,14.210000038146973,14.350000381469727,13.510000228881836,13.789999961853027,20771,0,0.0
2017-03-01,13.930000305175781,13.930000305175781,13.579999923706055,13.579999923706055,23000,0,0.0
2017-03-02,13.4399995803833,14.0,12.180000305175781,13.510000228881836,55314,0,0.0
2017-03-03,13.510000228881836,13.510000228881836,12.739999771118164,13.300000190734863,18443,0,0.0
2017-03-06,13.229999542236328,13.229999542236328,12.039999961853027,12.180000305175781,39100,0,0.0
2017-03-07,12.180000305175781,12.446000099182129,11.899999618530273,11.899999618530273,17971,0,0.0
2017-03-08,11.899999618530273,12.347999572753906,11.899999618530273,12.180000305175781,12800,0,0.0
2017-03-09,12.25,12.460000038146973,12.039999961853027,12.25,5871,0,0.0
2017-03-10,12.109999656677246,12.390000343322754,11.899999618530273,11.899999618530273,12443,0,0.0
2017-03-13,10.5,10.850000381469727,9.9399995803833,10.710000038146973,107957,0,0.0
2017-03-14,10.220000267028809,10.5,10.149999618530273,10.5,17471,0,0.0
2017-03-15,10.5,10.640000343322754,10.430000305175781,10.569999694824219,18543,0,0.0
2017-03-16,10.640000343322754,10.640000343322754,10.289999961853027,10.289999961853027,14257,0,0.0
2017-03-17,10.359999656677246,10.359999656677246,9.380000114440918,9.449999809265137,54543,0,0.0
2017-03-20,9.449999809265137,10.220000267028809,9.3100004196167,10.010000228881836,34757,0,0.0
2017-03-21,10.149999618530273,10.149999618530273,9.3100004196167,9.380000114440918,22300,0,0.0
