Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,17.243668193086883,17.243668193086883,17.21663988186429,17.230154037475586,4300,0.0,0
2017-02-09,17.243669509887695,17.26393945607173,17.243669509887695,17.243669509887695,4000,0.0,0
2017-02-10,17.277454675353148,17.36529541015625,17.196372308068273,17.36529541015625,9100,0.0,0
2017-02-13,17.317993471387393,17.33150762699869,17.209882804058637,17.230154037475586,9600,0.0,0
2017-02-14,17.25718366653099,17.317994793864003,17.236912431566047,17.243669509887695,5400,0.0,0
2017-02-15,17.27069854736328,17.324753891455927,17.236914440598277,17.27069854736328,5900,0.0,0
2017-02-16,17.257184663194074,17.3652953450224,17.209885112210824,17.34502410888672,8300,0.0,0
2017-02-17,17.34502595325703,17.372052982197513,17.317997635535416,17.32475471496582,2400,0.0,0
2017-02-21,17.365301168862956,17.37205696105957,17.257190450777298,17.37205696105957,1900,0.0,0
2017-02-22,17.338268280029297,17.338268280029297,17.324754121631322,17.338268280029297,2600,0.0,0
2017-02-23,17.399078369140625,17.399078369140625,17.399078369140625,17.399078369140625,2600,0.0,0
2017-02-24,17.351784408681223,17.37881143976495,17.338270248748746,17.35854148864746,1500,0.0,0
2017-02-27,17.331509781938262,17.338266860584064,17.290968598844433,17.297725677490234,9200,0.0,0
2017-02-28,17.236911946937322,17.284210205078125,17.19637076692819,17.284210205078125,13400,0.0,0
2017-03-01,17.16934618168833,17.28421395730154,17.16934618168833,17.26394271850586,6800,0.0,0
2017-03-02,17.18286034088545,17.27069979810442,17.18286034088545,17.26394271850586,2100,0.0,0
2017-03-03,17.230156114659927,17.277454376220703,17.230156114659927,17.277454376220703,2200,0.0,0
2017-03-06,17.230155180980773,17.317994620722178,17.189614000237118,17.19637107849121,9500,0.0,0
2017-03-07,17.216645538277596,17.243673858380163,17.196375586981908,17.209888458251953,2600,0.0,0
2017-03-08,17.243671017120374,17.243671017120374,17.128803253173828,17.128803253173828,13500,0.0,0
2017-03-09,17.06799059932807,17.12880301992939,17.061233520507812,17.061233520507812,3500,0.0,0
2017-03-10,17.11528892722581,17.162587190366065,17.061233585239655,17.081504821777344,4000,0.0,0
2017-03-13,17.122046006071702,17.135560163763493,17.074747742931446,17.081504821777344,2800,0.0,0
2017-03-14,17.13556446120014,17.223403930664062,17.13556446120014,17.223403930664062,1400,0.0,0
2017-03-15,17.169347763061523,17.169347763061523,17.169347763061523,17.169347763061523,1100,0.0,0
2017-03-16,17.19636869121745,17.236909866333008,17.19636869121745,17.236909866333008,2700,0.0,0
2017-03-17,17.236912298696442,17.372049997744973,17.162585726512162,17.203126907348633,1600,0.0,0
2017-03-20,17.37205096503209,17.37205096503209,17.216642022521604,17.297725677490234,2200,0.0,0
2017-03-21,17.365293016026936,17.365293016026936,17.230154037475586,17.230154037475586,2000,0.0,0
2017-03-22,17.19636904635636,17.331506729125977,17.19636904635636,17.331506729125977,1100,0.0,0
2017-03-23,17.230158609294215,17.2909710369001,17.230158609294215,17.26394271850586,3100,0.0,0
2017-03-24,17.358540112117833,17.358540112117833,17.297727686025333,17.32475471496582,1900,0.0,0
2017-03-27,17.297726502130345,17.36529600302864,17.297726502130345,17.351781845092773,1200,0.0,0
2017-03-28,17.36529426646048,17.412592525725046,17.26393938085824,17.399078369140625,5000,0.0,0
2017-03-29,17.49975166932751,17.49975166932751,17.410116007158017,17.46527671813965,11900,0.516,0
2017-03-30,17.382534432574413,17.541122622266776,17.382534432574413,17.43769645690918,5800,0.0,0
2017-03-31,17.410110473632812,17.485956920301632,17.410110473632812,17.410110473632812,4700,0.0,0
2017-04-03,17.43769147792499,17.4652711670825,17.410110473632812,17.410110473632812,2000,0.0,0
2017-04-04,17.444587138172682,17.506643088829332,17.417007446289062,17.417007446289062,6200,0.0,0
2017-04-05,17.50664538631685,17.644547809237007,17.444589427516277,17.45148468017578,15400,0.0,0
2017-04-06,17.534222206281697,17.637648341185518,17.51353645324707,17.51353645324707,10100,0.0,0
2017-04-07,17.554907623395216,17.554907623395216,17.499746927360672,17.54801368713379,1900,0.0,0
2017-04-10,17.630756378173828,17.644546882768733,17.55490991803674,17.630756378173828,1600,0.0,0
2017-04-11,17.596279330453505,17.616963769740803,17.589384078979492,17.589384078979492,1200,0.0,0
2017-04-12,17.472167989621262,17.610070393215906,17.46527273792805,17.56869888305664,2100,0.0,0
2017-04-13,17.610070393215906,17.64454533654717,17.47906324131447,17.56869888305664,6300,0.0,0
2017-04-17,17.520432879374088,17.70660072376825,17.520432879374088,17.589384078979492,6900,0.0,0
2017-04-18,17.534223544996376,17.685915133427788,17.485958099365234,17.485958099365234,5100,0.0,0
2017-04-19,17.51353645324707,17.520431704258613,17.472166262312474,17.51353645324707,5600,0.0,0
