Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,49.0,49.0,47.0,49.0,3530,0,0.0
2017-02-09,49.0,50.0,47.5,48.5,5120,0,0.0
2017-02-10,37.5,42.5,36.0,41.5,85970,0,0.0
2017-02-13,41.0,41.0,40.0,41.0,5930,0,0.0
2017-02-14,40.5,40.5,39.0,39.5,5010,0,0.0
2017-02-15,39.5,40.0,38.0,39.0,7600,0,0.0
2017-02-16,41.0,42.0,38.5,40.0,8080,0,0.0
2017-02-17,39.5,39.5,38.5,39.5,1360,0,0.0
2017-02-21,39.5,39.75,38.0,38.5,3310,0,0.0
2017-02-22,38.5,39.099998474121094,37.0,37.0,4370,0,0.0
2017-02-23,37.5,39.25,36.5,39.0,5320,0,0.0
2017-02-24,38.5,40.0,38.0,39.0,2070,0,0.0
2017-02-27,39.5,41.5,39.29999923706055,39.5,5160,0,0.0
2017-02-28,39.0,40.0,39.0,39.0,5280,0,0.0
2017-03-01,39.0,40.5,39.0,40.0,6420,0,0.0
2017-03-02,39.5,41.0,39.0,40.5,8220,0,0.0
2017-03-03,41.5,41.75,38.56999969482422,41.0,3970,0,0.0
2017-03-06,40.5,41.29999923706055,38.0,39.0,7540,0,0.0
2017-03-07,40.0,40.0,38.0,38.5,4390,0,0.0
2017-03-08,38.5,40.0,38.5,39.5,3690,0,0.0
2017-03-09,39.5099983215332,41.5,39.0,41.0,2950,0,0.0
2017-03-10,41.5,42.0,40.5,41.0,5280,0,0.0
2017-03-13,40.5,42.0,40.0,41.5,4150,0,0.0
2017-03-14,41.0,41.20000076293945,40.0,40.5,2600,0,0.0
2017-03-15,42.0,46.95000076293945,40.0,45.0,27030,0,0.0
2017-03-16,45.0,46.0,42.5,43.5,7730,0,0.0
2017-03-17,43.5,45.0,42.0,45.0,3900,0,0.0
2017-03-20,44.5,46.0,43.54999923706055,45.5,4200,0,0.0
2017-03-21,45.0,45.0,41.5,43.0,3570,0,0.0
2017-03-22,42.5,43.5,42.0,43.5,1390,0,0.0
2017-03-23,43.5,44.0,42.5,43.0,2220,0,0.0
2017-03-24,43.5,43.5,40.0,41.0,5800,0,0.0
2017-03-27,40.0,42.5,40.0,42.0,1960,0,0.0
2017-03-28,42.5,42.970001220703125,41.5,42.5,1390,0,0.0
2017-03-29,42.5,42.5,39.0,39.0,15670,0,0.0
2017-03-30,39.0,39.0,36.5,38.0,11830,0,0.0
2017-03-31,38.93000030517578,39.5,37.0,37.5,3580,0,0.0
2017-04-03,38.0,38.06999969482422,36.0,36.0,5180,0,0.0
2017-04-04,36.5,44.0,36.0,41.040000915527344,27040,0,0.0
2017-04-05,40.5,44.0,38.5,39.0,20200,0,0.0
2017-04-06,39.0,42.0,36.5,37.0,15140,0,0.0
2017-04-07,37.5,41.0,36.0,37.5,15840,0,0.0
2017-04-10,37.0,39.5,36.0,38.5,6010,0,0.0
2017-04-11,39.0,39.5,36.5,37.5,4620,0,0.0
2017-04-12,37.95000076293945,38.0,36.5,37.0,5840,0,0.0
2017-04-13,37.0,38.0,36.5,36.5,12670,0,0.0
2017-04-17,37.0,37.0,34.0,35.5,14030,0,0.0
2017-04-18,35.5,39.0099983215332,34.86000061035156,37.5,7610,0,0.0
2017-04-19,37.5,38.5,36.0,36.0,5350,0,0.0
2017-04-20,36.5,38.0,36.0,36.5,3570,0,0.0
2017-04-21,36.5,36.5,34.5,35.5,4200,0,0.0
2017-04-24,36.0,36.0,34.5,35.25,3230,0,0.0
2017-04-25,35.0,36.0,34.0,35.0,4480,0,0.0
2017-04-26,35.5,37.0,35.0,37.0,3890,0,0.0
2017-04-27,36.5,37.5,35.0,35.5,2280,0,0.0
2017-04-28,35.5,35.5,34.5,34.5,1170,0,0.0
2017-05-01,35.0,35.0,33.5,35.0,2840,0,0.0
2017-05-02,34.0,35.5,34.0,34.0,890,0,0.0
2017-05-03,34.380001068115234,35.0,33.5,33.5,2600,0,0.0
2017-05-04,34.45000076293945,35.0,33.5,35.0,1330,0,0.0
2017-05-05,35.0,35.0,33.27000045776367,34.0,1870,0,0.0
2017-05-08,34.04999923706055,34.5,33.0,33.5,2080,0,0.0
2017-05-09,33.54999923706055,33.54999923706055,30.68000030517578,33.0,5780,0,0.0
2017-05-10,32.0,32.939998626708984,32.0,32.5,3980,0,0.0
2017-05-11,31.0,33.0,30.0,32.0,5780,0,0.0
2017-05-12,32.0,34.4900016784668,32.0,34.0,3140,0,0.0
