Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-08,70.5,70.5,66.0,67.5,8510,0,0.0
2017-02-09,63.0,66.0,61.5,63.0,6317,0,0.0
2017-02-10,64.5,72.0,63.0,70.5,9147,0,0.0
2017-02-13,72.0,75.0,70.5,70.5,6957,0,0.0
2017-02-14,72.0,72.0,67.5,67.5,4360,0,0.0
2017-02-15,69.0,72.0,68.4000015258789,72.0,4813,0,0.0
2017-02-16,75.0,79.5,73.5,73.5,16677,0,0.0
2017-02-17,75.0,76.5,73.5,75.0,6413,0,0.0
2017-02-21,76.5,76.5,72.0,76.5,14613,0,0.0
2017-02-22,76.5,78.0,75.0,75.0,4873,0,0.0
2017-02-23,76.5,76.5,73.5,75.0,4140,0,0.0
2017-02-24,75.0,75.0,72.0,73.5,4107,0,0.0
2017-02-27,75.0,75.0,69.0,72.0,6253,0,0.0
2017-02-28,69.0,70.5,67.5,67.5,4253,0,0.0
2017-03-01,69.0,70.5,67.5,69.0,1753,0,0.0
2017-03-02,67.5,70.5,67.5,69.0,2360,0,0.0
2017-03-03,69.0,69.0,67.5,69.0,2427,0,0.0
2017-03-06,69.0,69.0,63.0,66.0,4760,0,0.0
2017-03-07,67.5,67.5,60.29999923706055,61.5,6517,0,0.0
2017-03-08,61.5,63.0,57.0,63.0,6740,0,0.0
2017-03-09,64.5,64.5,58.5,60.0,3920,0,0.0
2017-03-10,60.0,60.0,58.5,58.5,4173,0,0.0
2017-03-13,60.0,66.0,60.0,66.0,2290,0,0.0
2017-03-14,66.0,67.5,63.0,64.5,1907,0,0.0
2017-03-15,64.5,67.5,64.5,64.5,1723,0,0.0
2017-03-16,67.5,76.5,67.5,75.0,10167,0,0.0
2017-03-17,78.0,94.5,75.0,88.5,32407,0,0.0
2017-03-20,90.0,102.0,84.0,87.0,27563,0,0.0
2017-03-21,85.5,91.5,78.0,79.5,11350,0,0.0
2017-03-22,81.0,93.0,79.5,87.0,18557,0,0.0
2017-03-23,96.0,109.5,96.0,100.5,94917,0,0.0
2017-03-24,105.0,118.5,99.0,117.0,62237,0,0.0
2017-03-27,117.0,159.0,114.0,151.5,119093,0,0.0
2017-03-28,154.5,156.0,111.0,121.5,93063,0,0.0
2017-03-29,133.5,133.5,118.5,121.5,29760,0,0.0
2017-03-30,121.5,124.5,112.5,114.0,24340,0,0.0
2017-03-31,112.5,123.0,105.0,123.0,29810,0,0.0
2017-04-03,126.0,132.89999389648438,112.5,118.5,32453,0,0.0
2017-04-04,118.5,121.5,112.5,112.5,15227,0,0.0
2017-04-05,114.0,114.0,105.0,105.0,14457,0,0.0
2017-04-06,106.5,115.5,105.0,109.5,15923,0,0.0
2017-04-07,109.5,110.69999694824219,106.5,108.0,5320,0,0.0
2017-04-10,108.0,112.5,106.5,109.5,7923,0,0.0
2017-04-11,109.5,112.5,105.0,106.5,12230,0,0.0
2017-04-12,105.0,108.0,102.0,102.0,11267,0,0.0
2017-04-13,103.5,106.5,100.5,105.0,6683,0,0.0
2017-04-17,106.5,112.5,105.9000015258789,108.0,11203,0,0.0
2017-04-18,106.5,108.9000015258789,102.0,106.5,7817,0,0.0
2017-04-19,105.0,111.0,105.0,109.5,5733,0,0.0
2017-04-20,111.0,124.5,109.80000305175781,118.5,25687,0,0.0
2017-04-21,121.5,124.5,117.0,121.5,12490,0,0.0
2017-04-24,124.5,130.5,123.0,126.0,13033,0,0.0
2017-04-25,127.5,130.5,123.0,124.5,12317,0,0.0
2017-04-26,123.0,143.39999389648438,121.80000305175781,135.0,41693,0,0.0
2017-04-27,133.5,141.0,130.5,132.0,10980,0,0.0
2017-04-28,132.0,132.0,120.0,123.0,18510,0,0.0
2017-05-01,123.0,129.0,118.5,129.0,7597,0,0.0
2017-05-02,130.5,130.5,120.0,126.0,8047,0,0.0
2017-05-03,123.0,127.5,120.0,123.0,7853,0,0.0
2017-05-04,120.0,123.0,111.0,115.5,15600,0,0.0
2017-05-05,117.0,120.0,114.0,120.0,5683,0,0.0
2017-05-08,123.0,126.0,118.5,126.0,7923,0,0.0
2017-05-09,127.5,129.3000030517578,123.0,127.5,8467,0,0.0
